delay_structure,spatial_structure,attenuation,gamma,seed,max_order,numerical_rank,operational_rank,new_algebraic_modes,new_operational_modes,sigma_min_positive,kappa_positive
constant,rotation,exponential,0.6,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
constant,rotation,exponential,0.6,9000,1,24,5,12,2,0.00026612094895874216,4457.568351807287
constant,rotation,exponential,0.6,9000,2,24,5,0,0,0.0017032030067400403,713.1478670045553
constant,rotation,exponential,0.6,9000,3,24,5,0,0,0.004607291392970695,264.38617217301584
constant,rotation,exponential,0.6,9000,4,24,5,0,0,0.008003391934329952,152.23126554791992
constant,rotation,exponential,0.6,9000,5,24,5,0,0,0.009666663505348309,126.04441273994546
constant,rotation,exponential,0.9,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
constant,rotation,exponential,0.9,9000,1,24,4,12,1,0.0002573535861385157,4376.183090044145
constant,rotation,exponential,0.9,9000,2,24,4,0,0,0.0014187737755996862,799.752533395702
constant,rotation,exponential,0.9,9000,3,24,4,0,0,0.0027759077954984824,408.90916183481266
constant,rotation,exponential,0.9,9000,4,24,4,0,0,0.0037843450476497107,299.94806186634395
constant,rotation,exponential,0.9,9000,5,24,4,0,0,0.004263884881880668,266.21449493917004
constant,rotation_shear,equalized,0.0,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
constant,rotation_shear,equalized,0.0,9000,1,24,7,12,4,0.000179531670606708,8899.511494821934
constant,rotation_shear,equalized,0.0,9000,2,24,8,0,1,0.001850412463149748,1131.2637749323696
constant,rotation_shear,equalized,0.0,9000,3,24,11,0,3,0.012563373134237416,200.15426493082836
constant,rotation_shear,equalized,0.0,9000,4,24,13,0,2,0.037061356822293216,74.8214272551407
constant,rotation_shear,equalized,0.0,9000,5,24,15,0,2,0.07433931695027442,43.26752475814234
constant,rotation_shear,exponential,0.3,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
constant,rotation_shear,exponential,0.3,9000,1,24,6,12,3,0.00017802909437882562,7723.729422978279
constant,rotation_shear,exponential,0.3,9000,2,24,7,0,1,0.001596634798864525,971.3556245670883
constant,rotation_shear,exponential,0.3,9000,3,24,7,0,0,0.008143425126799353,200.39421223827858
constant,rotation_shear,exponential,0.3,9000,4,24,8,0,1,0.01688408674595975,98.0516456044669
constant,rotation_shear,exponential,0.3,9000,5,24,8,0,0,0.025666411262537162,64.94985506468926
constant,rotation_shear,exponential,0.6,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
constant,rotation_shear,exponential,0.6,9000,1,24,5,12,2,0.00017537929226045838,7055.808627453675
constant,rotation_shear,exponential,0.6,9000,2,24,5,0,0,0.0013869937693846337,932.4309561981443
constant,rotation_shear,exponential,0.6,9000,3,24,5,0,0,0.005138645023822007,253.90728811684085
constant,rotation_shear,exponential,0.6,9000,4,24,5,0,0,0.008007652257472426,163.12591107315922
constant,rotation_shear,exponential,0.6,9000,5,24,5,0,0,0.009879810742804007,132.25375366782023
constant,rotation_shear,exponential,0.9,9000,0,12,3,12,3,0.0007666456493512071,1370.2022641757294
constant,rotation_shear,exponential,0.9,9000,1,24,5,12,2,0.0001708232502274096,6767.179395500027
constant,rotation_shear,exponential,0.9,9000,2,24,5,0,0,0.0011853360323678948,989.478875369804
constant,rotation_shear,exponential,0.9,9000,3,24,5,0,0,0.0031380195643544067,374.1881200297061
constant,rotation_shear,exponential,0.9,9000,4,24,5,0,0,0.004029983060868018,291.3836224498271
constant,rotation_shear,exponential,0.9,9000,5,24,5,0,0,0.004364286467424949,269.0649774830354
constant,independent,equalized,0.0,9000,0,12,3,12,3,0.0003920710656846495,2621.5679717146563
constant,independent,equalized,0.0,9000,1,24,3,12,0,0.00019133643012670916,6111.121226555372
constant,independent,equalized,0.0,9000,2,24,6,0,3,0.002487719791687849,564.4451233066919
constant,independent,equalized,0.0,9000,3,24,7,0,1,0.009038477490316563,159.92028575788922
constant,independent,equalized,0.0,9000,4,24,8,0,1,0.016789376316408467,94.47792325387198
constant,independent,equalized,0.0,9000,5,24,10,0,2,0.11338102978491496,14.827923303653778
constant,independent,exponential,0.3,9000,0,12,3,12,3,0.0003920710656846495,2621.5679717146563
constant,independent,exponential,0.3,9000,1,24,3,12,0,0.00019074273675358813,5725.294379379073
