reading,arm,readout,snr,source_seed,rule,hyperparameter,nrmse,visible_component_error,null_component_error,data_residual
B_cells6_screen2,resolved_identical,resolved,100.0,300003,discrepancy,62.60516572014828,0.4966539686850442,0.1377325926207046,0.8782595869257426,17.015581559480154
B_cells6_screen2,resolved_identical,resolved,100.0,300004,oracle,0.00020187602546790388,0.4887586361319282,0.06978489545662489,0.7212256753608643,16.685409507828158
B_cells6_screen2,resolved_identical,resolved,100.0,300004,gcv,3.7693909753883634,0.48906423960618794,0.07253044282328121,0.7212256409490544,16.686174684265236
B_cells6_screen2,resolved_identical,resolved,100.0,300004,discrepancy,100.0,0.5099099529422221,0.18024348823540834,0.7212256409470549,16.97485809150044
B_cells6_screen2,resolved_identical,resolved,100.0,300005,oracle,1e-10,0.4458109183852334,0.0293087870769408,0.7430996795326487,16.65983638703191
B_cells6_screen2,resolved_identical,resolved,100.0,300005,gcv,24.537511066398267,0.46036299138404074,0.031385328298581094,0.7672568555586766,16.666441818076958
B_cells6_screen2,resolved_identical,resolved,100.0,300005,discrepancy,100.0,0.46240968101289587,0.05813101854829173,0.7672568555588143,16.738457510264777
B_cells6_screen2,resolved_identical,resolved,100.0,300006,oracle,0.001314147362611758,0.545733023470433,0.04419561707687081,0.792989098140144,15.421447156862687
B_cells6_screen2,resolved_identical,resolved,100.0,300006,gcv,24.537511066398267,0.5460536457304265,0.04950570205568164,0.7929890868299503,15.425815951569152
B_cells6_screen2,resolved_identical,resolved,100.0,300006,discrepancy,100.0,0.5475649173919078,0.06928188918794431,0.7929890868295112,15.480069610125538
B_cells6_screen2,resolved_identical,resolved,100.0,300007,oracle,1e-10,0.4249785694351559,0.039210039985261194,0.6605993805123658,16.824531579364873
B_cells6_screen2,resolved_identical,resolved,100.0,300007,gcv,9.617248711152984,0.4522033588452044,0.040534604579751866,0.7030530574498169,16.827185311534922
B_cells6_screen2,resolved_identical,resolved,100.0,300007,discrepancy,100.0,0.4591996820849144,0.09821119109409941,0.7030530574504996,17.013106519388305
B_cells6_screen2,resolved_identical,resolved,10.0,300000,oracle,3.7693909753883634,0.5517326437611544,0.19432288536492606,0.8098016388663217,16.822324746765872
B_cells6_screen2,resolved_identical,resolved,10.0,300000,gcv,15.361749466718296,0.5783170776756293,0.28163681911691096,0.8098016388663175,16.868730760186143
B_cells6_screen2,resolved_identical,resolved,10.0,300000,discrepancy,24.537511066398267,0.5889251041320881,0.3105607756597195,0.8098016388663168,16.908942868438256
B_cells6_screen2,resolved_identical,resolved,10.0,300001,oracle,9.617248711152984,0.48327904111490927,0.1811765814868037,0.945202004091118,15.72247669230505
B_cells6_screen2,resolved_identical,resolved,10.0,300001,gcv,6.02089449333615,0.4836450992095412,0.18240505732830686,0.9452020040911386,15.690515815608155
B_cells6_screen2,resolved_identical,resolved,10.0,300001,discrepancy,15.361749466718296,0.4883960775321945,0.1977353287898915,0.9452020040911059,15.780497909974073
B_cells6_screen2,resolved_identical,resolved,10.0,300002,oracle,9.617248711152984,0.6126185515813423,0.353574933901749,0.8379129768516367,16.82545690900829
B_cells6_screen2,resolved_identical,resolved,10.0,300002,gcv,6.02089449333615,0.6129166977428052,0.35429791974448915,0.8379129768516447,16.795754462700256
B_cells6_screen2,resolved_identical,resolved,10.0,300002,discrepancy,24.537511066398267,0.6225254739540812,0.37703351255671036,0.8379129768516292,16.973486005323732
B_cells6_screen2,resolved_identical,resolved,10.0,300003,oracle,1e-10,0.5596453634749659,0.32617525425865607,0.8771383139891815,16.734817129941703
B_cells6_screen2,resolved_identical,resolved,10.0,300003,gcv,9.617248711152984,0.6991804080048368,0.5782382840818204,0.878259586925484,16.786362293049837
